studentId,subjectCode,score,maxScore,examType
23891A0501,CSE101PC,87,100,internal
23891A0501,CSE101PC,93,100,mid
23891A0501,CSE101PC,86,100,semester
23891A0501,CSE201PC,99,100,internal
23891A0501,CSE201PC,92,100,mid
23891A0501,CSE201PC,85,100,semester
23891A0501,CSE301PC,98,100,internal
23891A0501,CSE301PC,95,100,mid
23891A0501,CSE301PC,85,100,semester
23891A0501,CSE401PC,88,100,internal
23891A0501,CSE401PC,98,100,mid
23891A0501,CSE401PC,86,100,semester
23891A0502,CSE101PC,95,100,internal
23891A0502,CSE101PC,93,100,mid
23891A0502,CSE101PC,96,100,semester
23891A0502,CSE201PC,95,100,internal
23891A0502,CSE201PC,86,100,mid
23891A0502,CSE201PC,94,100,semester
23891A0502,CSE301PC,85,100,internal
23891A0502,CSE301PC,91,100,mid
23891A0502,CSE301PC,90,100,semester
23891A0502,CSE401PC,90,100,internal
23891A0502,CSE401PC,96,100,mid
23891A0502,CSE401PC,89,100,semester
23891A0503,CSE101PC,72,100,internal
23891A0503,CSE101PC,58,100,mid
23891A0503,CSE101PC,83,100,semester
23891A0503,CSE201PC,81,100,internal
23891A0503,CSE201PC,62,100,mid
23891A0503,CSE201PC,79,100,semester
23891A0503,CSE301PC,68,100,internal
23891A0503,CSE301PC,68,100,mid
23891A0503,CSE301PC,64,100,semester
23891A0503,CSE401PC,74,100,internal
23891A0503,CSE401PC,69,100,mid
23891A0503,CSE401PC,84,100,semester
23891A0504,CSE101PC,79,100,internal
23891A0504,CSE101PC,62,100,mid
23891A0504,CSE101PC,77,100,semester
23891A0504,CSE201PC,56,100,internal
23891A0504,CSE201PC,84,100,mid
23891A0504,CSE201PC,61,100,semester
23891A0504,CSE301PC,72,100,internal
23891A0504,CSE301PC,83,100,mid
23891A0504,CSE301PC,77,100,semester
23891A0504,CSE401PC,76,100,internal
23891A0504,CSE401PC,66,100,mid
23891A0504,CSE401PC,67,100,semester
23891A0505,CSE101PC,68,100,internal
23891A0505,CSE101PC,67,100,mid
23891A0505,CSE101PC,64,100,semester
23891A0505,CSE201PC,73,100,internal
23891A0505,CSE201PC,72,100,mid
23891A0505,CSE201PC,73,100,semester
23891A0505,CSE301PC,65,100,internal
23891A0505,CSE301PC,65,100,mid
23891A0505,CSE301PC,67,100,semester
23891A0505,CSE401PC,73,100,internal
23891A0505,CSE401PC,74,100,mid
23891A0505,CSE401PC,75,100,semester
23891A1201,IT101PC,98,100,internal
23891A1201,IT101PC,87,100,mid
23891A1201,IT101PC,91,100,semester
23891A1201,IT201PC,88,100,internal
23891A1201,IT201PC,87,100,mid
23891A1201,IT201PC,87,100,semester
23891A1201,IT301PC,87,100,internal
23891A1201,IT301PC,92,100,mid
23891A1201,IT301PC,97,100,semester
23891A1201,IT401PC,94,100,internal
23891A1201,IT401PC,86,100,mid
23891A1201,IT401PC,85,100,semester
23891A1202,IT101PC,78,100,internal
23891A1202,IT101PC,82,100,mid
23891A1202,IT101PC,72,100,semester
23891A1202,IT201PC,71,100,internal
23891A1202,IT201PC,73,100,mid
23891A1202,IT201PC,74,100,semester
23891A1202,IT301PC,84,100,internal
23891A1202,IT301PC,76,100,mid
23891A1202,IT301PC,70,100,semester
23891A1202,IT401PC,61,100,internal
23891A1202,IT401PC,57,100,mid
23891A1202,IT401PC,72,100,semester
23891A1203,IT101PC,60,100,internal
23891A1203,IT101PC,69,100,mid
23891A1203,IT101PC,69,100,semester
23891A1203,IT201PC,73,100,internal
23891A1203,IT201PC,57,100,mid
23891A1203,IT201PC,75,100,semester
23891A1203,IT301PC,74,100,internal
23891A1203,IT301PC,63,100,mid
23891A1203,IT301PC,59,100,semester
23891A1203,IT401PC,55,100,internal
23891A1203,IT401PC,81,100,mid
23891A1203,IT401PC,64,100,semester
23891A1204,IT101PC,93,100,internal
23891A1204,IT101PC,86,100,mid
23891A1204,IT101PC,98,100,semester
23891A1204,IT201PC,98,100,internal
23891A1204,IT201PC,88,100,mid
23891A1204,IT201PC,85,100,semester
23891A1204,IT301PC,94,100,internal
23891A1204,IT301PC,85,100,mid
23891A1204,IT301PC,92,100,semester
23891A1204,IT401PC,94,100,internal
23891A1204,IT401PC,85,100,mid
23891A1204,IT401PC,93,100,semester
23891A1205,IT101PC,99,100,internal
23891A1205,IT101PC,99,100,mid
23891A1205,IT101PC,94,100,semester
23891A1205,IT201PC,94,100,internal
23891A1205,IT201PC,88,100,mid
23891A1205,IT201PC,88,100,semester
23891A1205,IT301PC,87,100,internal
23891A1205,IT301PC,94,100,mid
23891A1205,IT301PC,95,100,semester
23891A1205,IT401PC,97,100,internal
23891A1205,IT401PC,89,100,mid
23891A1205,IT401PC,90,100,semester
23891A0401,ECE101PC,59,100,internal
23891A0401,ECE101PC,50,100,mid
23891A0401,ECE101PC,42,100,semester
23891A0401,ECE201PC,41,100,internal
23891A0401,ECE201PC,57,100,mid
23891A0401,ECE201PC,34,100,semester
23891A0401,ECE301PC,41,100,internal
23891A0401,ECE301PC,60,100,mid
23891A0401,ECE301PC,35,100,semester
23891A0401,ECE401PC,49,100,internal
23891A0401,ECE401PC,41,100,mid
23891A0401,ECE401PC,62,100,semester
23891A0402,ECE101PC,70,100,internal
23891A0402,ECE101PC,60,100,mid
23891A0402,ECE101PC,63,100,semester
23891A0402,ECE201PC,82,100,internal
23891A0402,ECE201PC,78,100,mid
23891A0402,ECE201PC,68,100,semester
23891A0402,ECE301PC,55,100,internal
23891A0402,ECE301PC,70,100,mid
23891A0402,ECE301PC,68,100,semester
23891A0402,ECE401PC,68,100,internal
23891A0402,ECE401PC,65,100,mid
23891A0402,ECE401PC,63,100,semester
23891A0403,ECE101PC,94,100,internal
23891A0403,ECE101PC,99,100,mid
23891A0403,ECE101PC,91,100,semester
23891A0403,ECE201PC,85,100,internal
23891A0403,ECE201PC,93,100,mid
23891A0403,ECE201PC,94,100,semester
23891A0403,ECE301PC,86,100,internal
23891A0403,ECE301PC,89,100,mid
23891A0403,ECE301PC,98,100,semester
23891A0403,ECE401PC,90,100,internal
23891A0403,ECE401PC,99,100,mid
23891A0403,ECE401PC,93,100,semester
23891A0404,ECE101PC,86,100,internal
23891A0404,ECE101PC,89,100,mid
23891A0404,ECE101PC,93,100,semester
23891A0404,ECE201PC,94,100,internal
23891A0404,ECE201PC,91,100,mid
23891A0404,ECE201PC,98,100,semester
23891A0404,ECE301PC,86,100,internal
